File,Field,Ignore,Description
PROP.TXT,ex_xo_prorate_begin,y,"Proration begin date for EX-XO 11.254 exemption"
PROP.TXT,ex_xo_prorate_end,y,"Proration end date for EX-XO 11.254 exemption"
PROP.TXT,ex_xp_exempt,y,"EX-XP 11.271 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xp_qualify_yr,y,"Qualify Year for EX-XP 11.271 exemption"
PROP.TXT,ex_xp_prorate_begin,y,"Proration begin date for EX-XP 11.271 exemption"
PROP.TXT,ex_xp_prorate_end,y,"Proration end date for EX-XP 11.271 exemption"
PROP.TXT,ex_xq_exempt,y,"EX-XQ 11.29 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xq_qualify_yr,y,"Qualify Year for EX-XQ 11.29 exemption"
PROP.TXT,ex_xq_prorate_begin,y,"Proration begin date for EX-XQ 11.29 exemption"
PROP.TXT,ex_xq_prorate_end,y,"Proration end date for EX-XQ exemption 11.29 exemption"
PROP.TXT,ex_xr_exempt,y,"EX-XR 11.30 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xr_qualify_yr,y,"Qualify Year for EX-XR 11.30 exemption"
PROP.TXT,ex_xr_prorate_begin,y,"Proration begin date for EX-XR 11.30 exemption"
PROP.TXT,ex_xr_prorate_end,y,"Proration end date for EX-XR 11.30 exemption"
PROP.TXT,ex_xs_exempt,y,"EX-XS 11.33 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xs_qualify_yr,y,"Qualify Year for EX-XS 11.33 exemption"
PROP.TXT,ex_xs_prorate_begin,y,"Proration begin date for EX-XS 11.33 exemption"
PROP.TXT,ex_xs_prorate_end,y,"Proration end date for EX-XS 11.33 exemption"
PROP.TXT,ex_xt_exempt,y,"EX-XT 11.34 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xt_qualify_yr,y,"Qualify Year for EX-XT 11.34 exemption"
PROP.TXT,ex_xt_prorate_begin,y,"Proration begin date for EX-XT 11.34 exemption"
PROP.TXT,ex_xt_prorate_end,y,"Proration end date for EX-XT 11.34 exemption"
PROP.TXT,ex_xu_exempt,y,"EX-XU 11.23 exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xu_qualify_yr,y,"Qualify Year for EX-XU 11.23 exemption"
PROP.TXT,ex_xu_prorate_begin,y,"Proration begin date for EX-XU 11.23 exemption"
PROP.TXT,ex_xu_prorate_end,y,"Proration end date for EX-XU 11.23 exemption"
PROP.TXT,ex_xv_exempt,y,"EX-XV  exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xv_qualify_yr,y,"Qualify Year for EX-XV exemption"
PROP.TXT,ex_xv_prorate_begin,y,"Proration begin date for EX-XV exemption"
PROP.TXT,ex_xv_prorate_end,y,"Proration end date for EX-XV exemption"
PROP.TXT,ex_xa_exempt,y,"EX-XA  exemption (‘T’ or ‘F’)"
PROP.TXT,ex_xa_qualify_yr,y,"Qualify Year for EX-XA exemption"
PROP.TXT,ex_xa_prorate_begin,y,"Proration begin date for EX-XA exemption"
PROP.TXT,ex_xa_prorate_end,y,"Proration end date for EX-XA exemption"
PROP.TXT,lve_qualify_yr,y,"Qualify Year for LVE exemption"
PROP.TXT,ppv_exempt,y,"Personal Property Vehicle exemption"
PROP.TXT,ppv_qualify_yr,y,"Qualify Year for PPV exemption"
PROP.TXT,ppv_prorate_begin,y,"date PPV exemption began - used for proration"
PROP.TXT,ppv_prorate_end,y,"date PPV exemption ended - used for proration"
PROP.TXT,dvch_exempt,y,"Disabled Veteran Charity Homestead"
PROP.TXT,dvch_qualify_yr,y,"Qualify Year for DVCH exemption"
PROP.TXT,dvch_prorate_begin,y,"date DVCH exemption began - used for proration"
PROP.TXT,dvch_prorate_end,y,"date DVCH exemption ended - used for proration"
PROP.TXT,dvchs_exempt,y,"Disabled Veteran Charity Homestead Spouse"
PROP.TXT,dvchs_qualify_yr,y,"Qualify Year for DVCHS exemption"
PROP.TXT,dvchs_prorate_begin,y,"date DVCHS exemption began - used for proration"
PROP.TXT,dvchs_prorate_end,y,"date DVCHS exemption ended - used for proration"
PROP.TXT,masss_exempt,y,"Member Armed Services Surviving Spouse"
PROP.TXT,masss_qualify_yr,y,"Qualify Year for MASSS exemption"
PROP.TXT,masss_prorate_begin,y,"date MASSS exemption began - used for proration"
PROP.TXT,masss_prorate_end,y,"date MASSS exemption ended - used for proration"
PROP.TXT,pp_late_interstate_allocation_val,y,"Personal Property interstate allocation value that is subject to penalty"
PROP.TXT,appraised_val_reflecting_productivity_loss,y,"Appraised Value reflecting Productivity Loss"
PROP.TXT,assessed_val_reflecting_productivity_loss,y,"Assessed Value reflecting Productivity Loss"
PROP.TXT,frss_exempt,y,"First Responder Surviving Spouse"
PROP.TXT,frss_qualify_yr,y,"Qualify Year for FRSS exemption"
PROP.TXT,frss_prorate_begin,y,"date FRSS exemption began - used for proration"
PROP.TXT,frss_prorate_end,y,"date FRSS exemption ended - used for proration"
PROP.TXT,abmno_exempt,y,"ABMNO (Abatement-MNO) exemption"
PROP.TXT,abmno_qualify_yr,y,"Qualify Year for ABMNO exemption"
PROP.TXT,abmno_prorate_begin,y,"date ABMNO exemption began - used for proration"
PROP.TXT,abmno_prorate_end,y,"date ABMNO exemption ended - used for proration"
PROP.TXT,filler,y,"Not In Use (DV1 exemption deferral date in previous version)"
PROP.TXT,filler,y,"Not In Use(DV2 exemption deferral date in previous version)"
PROP.TXT,filler,y,"Not In Use(DV3 exemption deferral date in previous version)"
PROP.TXT,filler,y,"Not In Use(DV4 exemption deferral date in previous version)"
PROP.TXT,filler,y,"Not In Use(DV1S exemption deferral date in previous version)"
PROP.TXT,filler,y,"Not In Use(DV2S exemption deferral date in previous version)"
PROP.TXT,filler,y,"Not In Use(DV3S exemption deferral date in previous version)"
PROP.TXT,filler,y,"Not In Use(DV4S exemption deferral date in previous version)"
PROP.TXT,dstr_exempt,y,"Disaster Damage Exemption"
PROP.TXT,dstr_qualify_yr,y,"Qualify Year for DSTR exemption"
PROP.TXT,dstr_prorate_begin,y,"Date DSTR exemption began - used for proration"
PROP.TXT,dstr_prorate_end,y,"Date DSTR exemption ended - used for proration"
PROP.TXT,late_correction_val,y,"Late correction value subject to penalty"
PROP.TXT,dstrs_exempt,y,"Disaster Damage Exemption - STATE"
PROP.TXT,dstrs_qualify_yr,y,"Qualify Year for DSTRS exemption"
PROP.TXT,dstrs_prorate_begin,y,"Date DSTRS exemption began - used for proration"
PROP.TXT,dstrs_prorate_end,y,"Date DSTRS exemption ended - used for proration"
